City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Fort-Shevchenko,KZ,77.67,overcast clouds,44.5086,50.263,Oasis hotel Bautino
193,Honiara,SB,75.99,clear sky,-9.4333,159.95,Heritage Park Hotel
194,Barcelos,PT,83.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
195,La Tuque,CA,83.79,scattered clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
196,Saint-Francois,FR,80.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
197,Batticaloa,LK,79.9,overcast clouds,7.7102,81.6924,Grand Star Guest House
198,Inuvik,CA,76.06,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
199,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
200,Susanville,US,88.09,clear sky,40.4163,-120.653,Comfort Inn & Suites
201,Coahuayana,MX,89.67,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
202,Naze,JP,77.92,few clouds,28.3667,129.4833,Shishime Hotel
203,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
204,Podujevo,XK,79.75,clear sky,42.9106,21.1931,Ish Fabrika Fapol
205,Weligama,LK,78.22,overcast clouds,5.9667,80.4167,Weligama Bay Resort
206,Teixoso,PT,77.68,clear sky,40.3145,-7.4576,Casa Isabel Dias
207,Nouakchott,MR,85.93,light rain,18.0858,-15.9785,HOTEL IMAN
208,Spencer,US,89.71,few clouds,43.1414,-95.1444,Reston Inn & Suites
209,Taganak,PH,78.94,overcast clouds,6.0833,118.3,Taganak
210,Tha Mai,TH,83.05,overcast clouds,12.6214,102.0048,Khowbuysi View Resort
211,Celestun,MX,87.46,scattered clouds,20.8667,-90.4,Posada Lilia
212,Gazanjyk,TM,80.58,clear sky,39.2446,55.5154,Railway motel
213,Santa Cruz Del Sur,CU,87.84,scattered clouds,20.7147,-77.9956,
214,Kapoeta,SS,84.83,overcast clouds,4.7717,33.5903,Eastgate Hotel
