City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Cap-Aux-Meules,CA,2022-07-22 16:24:24,47.3821,-61.8597,63.61,99,68,12.3
102,Hamilton,US,2022-07-22 16:24:01,39.1834,-84.5333,90.95,61,1,7.0
103,Leningradskiy,RU,2022-07-22 16:24:25,69.3833,178.4167,32.02,95,97,8.52
104,Grindavik,IS,2022-07-22 16:24:25,63.8424,-22.4338,52.09,93,100,5.44
105,Port Macquarie,AU,2022-07-22 16:24:26,-31.4333,152.9167,52.9,83,54,11.9
106,Les Cayes,HT,2022-07-22 16:24:26,18.2,-73.75,88.86,59,48,11.41
107,Lompoc,US,2022-07-22 16:24:26,34.6391,-120.4579,72.93,76,4,8.01
108,Ponta Do Sol,PT,2022-07-22 16:24:27,32.6667,-17.1,82.71,57,0,2.93
109,Cherskiy,RU,2022-07-22 16:24:27,68.75,161.3,32.0,94,24,7.0
110,Vestmanna,FO,2022-07-22 16:23:18,62.1564,-7.1664,50.72,78,99,3.91
111,New Norfolk,AU,2022-07-22 16:24:28,-42.7826,147.0587,46.9,82,99,2.21
112,Kodiak,US,2022-07-22 16:19:46,57.79,-152.4072,49.1,81,70,2.01
113,Medvedevo,RU,2022-07-22 16:24:28,56.6339,47.804,69.69,72,8,2.04
114,Buala,SB,2022-07-22 16:24:28,-8.145,159.5921,79.25,80,10,4.79
115,Itaituba,BR,2022-07-22 16:24:29,-4.2761,-55.9836,96.48,34,80,2.91
116,Pokrovsk,UA,2022-07-22 16:24:29,48.282,37.1758,64.56,74,67,10.22
117,Lastoursville,GA,2022-07-22 16:24:30,-0.8143,12.7287,83.53,56,100,2.86
118,Pisco,PE,2022-07-22 16:20:44,-13.7,-76.2167,64.8,69,1,4.79
119,Talara,PE,2022-07-22 16:24:30,-4.5772,-81.2719,67.55,77,85,10.42
120,Castro,BR,2022-07-22 16:24:30,-24.7911,-50.0119,74.64,40,40,5.88
121,Pleasant Point,NZ,2022-07-22 16:24:31,-44.2667,171.1333,38.28,97,100,3.15
122,Port Augusta,AU,2022-07-22 16:23:17,-32.5,137.7667,56.59,64,100,7.76
123,Karpogory,RU,2022-07-22 16:24:31,64.0019,44.4451,73.09,61,82,3.15
124,Zlynka,RU,2022-07-22 16:24:32,52.4267,31.7378,74.64,64,50,10.51
125,Zemio,CF,2022-07-22 16:24:32,5.0314,25.1361,72.7,94,88,3.91
126,Upernavik,GL,2022-07-22 16:23:37,72.7868,-56.1549,42.03,95,100,26.24
127,Riyadh,SA,2022-07-22 16:19:41,24.6877,46.7219,106.63,10,91,16.78
128,Inhambane,MZ,2022-07-22 16:24:33,-23.865,35.3833,67.73,80,1,6.26
129,Avarua,CK,2022-07-22 16:24:33,-21.2078,-159.775,74.37,79,95,12.48
130,Mar Del Plata,AR,2022-07-22 16:25:23,-38.0023,-57.5575,52.95,65,100,1.99
131,Katsuura,JP,2022-07-22 16:25:33,35.1333,140.3,79.02,86,43,19.3
132,Jalu,LY,2022-07-22 16:25:34,29.0331,21.5482,94.91,15,0,12.39
133,Turayf,SA,2022-07-22 16:25:34,31.6725,38.6637,95.65,13,0,12.95
134,Palmas Bellas,PA,2022-07-22 16:25:35,9.2319,-80.0867,83.01,80,100,2.55
135,La Ronge,CA,2022-07-22 16:25:35,55.1001,-105.2842,50.65,78,100,4.21
136,Kavieng,PG,2022-07-22 16:25:35,-2.5744,150.7967,81.64,79,34,9.75
137,Alcaniz,ES,2022-07-22 16:25:36,41.05,-0.1333,98.55,24,86,14.63
138,Palana,RU,2022-07-22 16:25:36,59.1167,159.9667,46.78,77,0,4.14
139,Beringovskiy,RU,2022-07-22 16:24:30,63.05,179.3167,49.86,67,100,6.58
140,Bang Saphan,TH,2022-07-22 16:25:37,11.2126,99.5117,76.08,91,100,3.18
141,Severo-Kurilsk,RU,2022-07-22 16:25:37,50.6789,156.125,53.98,93,100,4.79
142,Torbay,CA,2022-07-22 16:23:41,47.6666,-52.7314,76.87,68,96,4.0
143,Nyurba,RU,2022-07-22 16:22:31,63.2842,118.3319,63.68,79,100,3.53
144,Bathsheba,BB,2022-07-22 16:23:12,13.2167,-59.5167,84.06,85,12,17.05
145,Tevaitoa,PF,2022-07-22 16:25:38,-16.7833,-151.5,77.45,74,17,10.54
146,Sisimiut,GL,2022-07-22 16:25:38,66.9395,-53.6735,45.23,91,100,4.27
147,Vila Franca Do Campo,PT,2022-07-22 16:24:55,37.7167,-25.4333,76.42,65,97,3.15
148,Yuanping,CN,2022-07-22 16:25:38,38.7153,112.7575,62.47,77,37,0.85
149,Narsaq,GL,2022-07-22 16:22:23,60.9167,-46.05,56.23,57,54,6.35
150,Ko Samui,TH,2022-07-22 16:23:25,9.5357,99.9357,81.63,79,95,8.12
151,Banamba,ML,2022-07-22 16:25:39,13.55,-7.45,88.36,50,100,4.41
152,Muisne,EC,2022-07-22 16:25:39,0.6,-80.0333,73.92,82,100,8.93
153,Saldanha,ZA,2022-07-22 16:25:40,-33.0117,17.9442,56.17,83,100,4.63
154,Aracati,BR,2022-07-22 16:23:50,-4.5617,-37.7697,83.61,59,100,7.29
155,Morondava,MG,2022-07-22 16:25:40,-20.2833,44.2833,73.0,68,0,10.83
156,Aras,ES,2022-07-22 16:25:41,42.5617,-2.356,62.76,49,76,14.5
157,Kununurra,AU,2022-07-22 16:25:41,-15.7667,128.7333,67.5,25,51,4.14
